"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The images clearly show the claimed rear bumper area and trunk lid from multiple angles, allowing for a comprehensive assessment of the damage.","none","broken_part","rear_bumper","supported","The customer claimed 'The back of the car has a dent now' and 'Mostly the rear bumper area'. The images clearly show severe damage to the rear of the car, including a missing bumper and a heavily dented and crumpled trunk lid and surrounding body panels (img_1 and all crops). This supports the claim of damage to the rear bumper area.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","Image 1 clearly shows the claimed object part (front bumper) and the damage, allowing for assessment. Image 2 shows a different car in pristine condition.","claim_mismatch;wrong_object","broken_part","front_bumper","contradicted","The user claims a 'scratch' on the front bumper. Image 1 shows severe damage to the front bumper and headlight, including a large dent, missing material, and a dislodged headlight, which is far more extensive than a scratch. Image 2 shows a different car (Jaguar) in undamaged condition, which contradicts the claim of damage to 'my car'.","img_1;img_2","true","high"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","Image img_1 clearly shows the claimed object (windshield) and the claimed damage (crack) in sufficient detail to assess the claim.","none","glass_shatter","windshield","supported","Image img_1 clearly shows extensive spiderweb cracking on the windshield, which supports the customer's claim of a crack spreading from a spot after being hit by a stone. Image img_2 does not show the damage but does not contradict the claim.","img_1","true","high"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The images clearly show the claimed object (side mirror) and the claimed damage (broken mirror glass) from an appropriate angle and clarity.","none","glass_shatter","side_mirror","supported","The customer claims the side mirror was damaged and is 'not sitting the way it should anymore'. The images (img_1 and its crops) clearly show the side mirror glass is shattered, which supports the claim of damage to the side mirror. While the 'not sitting the way it should' part isn't explicitly visible, the shattered glass is undeniable damage to the mirror.","img_1","true","high"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","Image 1 clearly shows the claimed rear bumper/quarter panel area and the visible damage. Image 2 provides good context of the rear of the vehicle.","user_history_risk","scratch","rear_bumper","supported","Image 1 clearly shows scuff marks and light scratches on the rear quarter panel and extending onto the rear bumper, supporting the customer's claim of damage to the 'back bumper' after being 'tapped from behind'. Image 2 provides a wider view of the rear of the car.","img_1","true","low"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The claimed part (headlight) is not visible in the provided image. The image only shows the rear-right side of the car.","cropped_or_obstructed;wrong_object_part","unknown","headlight","not_enough_information","The user claims a cracked headlight, but the provided image (img_1) only shows the rear-right side of the car. The headlight is not visible in the image, making it impossible to assess the claim.","none","true","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","Image 2 clearly shows the claimed damage on the specified part of the car.","blurry_image","dent","door","supported","The customer claims a 'dent along the side of my car' on the 'door panel area'. Image 2 clearly shows a significant dent on the rear passenger door panel, directly supporting the claim. Image 1 is too blurry to be useful.","img_2","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","true","The images clearly show the front of the car and the extent of the damage.","claim_mismatch;user_history_risk","broken_part","front_bumper","contradicted","The customer claims a 'scratch across the top panel' or 'mark on the hood'. The image (img_1) clearly shows severe, extensive damage to the entire front end of the car, including broken headlights, grille, bumper, and a crumpled hood, which is far more significant than a 'scratch' or 'mark'. The visible damage contradicts the claimed damage type and severity.","img_1","true","high"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The images clearly show the claimed object (laptop) and the claimed part (screen) with the damage (shattered glass) in sufficient detail to assess the claim.","none","glass_shatter","screen","supported","The customer claims the display glass has a crack. Image img_1 clearly shows a laptop with a severely shattered screen, which supports the claim of damage to the display glass. The damage is more extensive than a simple crack, but it directly confirms the claimed issue on the specified part.","img_1","true","high"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","Image 1 clearly shows the claimed hinge area and the damage, meeting REQ_LAPTOP_BODY_HINGE_PORT.","none","broken_part","hinge","supported","Image 1 clearly shows the laptop's hinge area with broken plastic casing and separation of the screen from the base, consistent with the customer's claim of a broken hinge area and wobbling screen. Image 2 provides a general view of the laptop but does not show the specific damage.","img_1","true","high"
"user_011","images/sample/case_011/img_1.jpg","Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.","laptop","true","The image clearly shows the claimed object (laptop) and the claimed part (keyboard) with the claimed condition (water spill).","none","water_damage","keyboard","supported","The image (img_1) clearly shows water spilled on the laptop keyboard, directly supporting the customer's claim of spilling water on the keys. The presence of liquid is evident across the keyboard and surrounding areas.","img_1","true","medium"
"user_012","images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg","Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.","laptop","true","The images clearly show the claimed object (laptop) and the claimed damaged part (corner) with sufficient detail to assess the damage.","none","dent","corner","supported","The customer claims a dent on one corner of the laptop. Image 2 clearly shows a distinct dent on the corner of a laptop, directly supporting the claim.","img_2","true","medium"
"user_018","images/sample/case_013/img_1.jpg","Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.","laptop","true","The image clearly shows the claimed laptop screen and the damage is visible and assessable.","none","glass_shatter","screen","supported","The customer claims screen damage, specifically that the screen 'looks shattered'. The image (img_1) clearly shows a laptop screen with extensive shattering, originating from a central impact point, which directly supports the customer's claim.","img_1","true","high"
"user_020","images/sample/case_014/img_1.jpg","Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.","laptop","true","The images clearly show the claimed object (laptop) and the claimed part (area around the trackpad) with sufficient detail to assess the physical damage.","user_history_risk","scratch","body","supported","The customer claims 'Physical damage around the trackpad area'. Image img_1 clearly shows a faint scratch on the laptop's palm rest, which is in the area around the trackpad, supporting the claim of physical damage.","img_1","true","low"
"user_015","images/sample/case_015/img_1.jpg","Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.","package","true","The image clearly shows the claimed package corner and the damage to it, meeting REQ_PACKAGE_EXTERIOR.","none","crushed_packaging","package_corner","supported","The image img_1 clearly shows a crushed corner on the package, directly supporting the customer's claim of 'One corner was crushed in when I received it.'","img_1","true","medium"
"user_030","images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg","Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.","package","true","Image 1 clearly shows the claimed torn seal and packaging, meeting REQ_PACKAGE_EXTERIOR.","none","torn_packaging","seal","supported","Image 1 clearly shows significant tearing on the sealed side of the package, consistent with the customer's claim of 'Seal wali side phati hui thi'. Image 2 is a generic image of an undamaged box and does not contradict the claim.","img_1","true","medium"
"user_031","images/sample/case_017/img_1.jpg","Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.","package","true","The images clearly show the claimed water damage on the package surface, meeting REQ_PACKAGE_LABEL_OR_STAIN and REQ_PACKAGE_EXTERIOR.","user_history_risk","water_damage","box","supported","The images clearly show a large, dark, wet-looking stain on the cardboard package, consistent with the customer's claim of water damage on the package surface. The cardboard also appears softened and deformed in the stained areas, further supporting the claim. All provided images (img_1 and its crops) show this damage.","img_1","true","medium"
"user_032","images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg","Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.","package","true","Image 1 clearly shows the inside of the opened package, allowing for assessment of its contents.","manual_review_required;user_history_risk","missing_part","contents","supported","Image 1 clearly shows an open box filled only with crumpled packing material, with no product visible, supporting the claim that the item was not inside the box. Image 2 shows the exterior of a sealed box, which does not contradict the claim once the box is opened.","img_1","true","high"
"user_033","images/sample/case_019/img_1.jpg","Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.","package","true","The image clearly shows the claimed object (a package/can) and the specific damage (crushed top).","user_history_risk","crushed_packaging","item","contradicted","The customer claims the 'outside box' was crushed, but the image (img_1) clearly shows a crushed canned food item, not an outside shipping box. This contradicts the claimed object.","img_1","true","medium"
