"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The images clearly show the claimed object (car) and the claimed part (rear bumper area) with visible damage.","none","dent","rear_bumper","supported","The customer claims a dent on the back of the car, specifically the rear bumper area. Image img_1 clearly shows significant denting and deformation on the rear bumper and trunk area of the silver car, consistent with the claim.","img_1","true","high"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","Image img_1 clearly shows damage on the front bumper of a car, which aligns with the user's claim.","none","scratch","front_bumper","supported","The user claims a scratch on the front bumper. Image img_1 clearly shows a scratch and scuff marks on the front bumper of a white car. Image img_2 shows a different car model (Jaguar) and no visible damage, but img_1 directly supports the claim.","img_1","true","medium"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","Image img_1 clearly shows the claimed damage on the windshield.","none","glass_shatter","windshield","supported","Image img_1 clearly shows a shattered windshield, consistent with the customer's claim of a crack spreading from a stone impact. Image img_2 shows the same car but does not show the damage.","img_1","true","high"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The image clearly shows the claimed object (side mirror) and the claimed damage (broken).","none","broken_part","side_mirror","supported","The image 'img_1' clearly shows the side mirror of a red car with significant cracks and breakage, supporting the customer's claim that the side mirror got damaged and is not sitting correctly.","img_1","true","high"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","Images clearly show the claimed object and part, allowing for assessment of damage.","user_history_risk","scratch","rear_bumper","supported","Image img_1 clearly shows multiple scratches and scuff marks on the rear bumper/quarter panel area of the silver car, consistent with the customer's claim of 'bumper damage' and 'tapped from behind'. Image img_2 provides a wider view of the rear of the car, confirming the location.","img_1;img_2","true","low"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","The images do not show the claimed headlight clearly enough to inspect for cracks. The sun glare and distance obscure the relevant part.","damage_not_visible;low_light_or_glare","crack","headlight","not_enough_information","The user claims a cracked headlight. Image img_1 shows a car from a distance with significant sun glare directly in front, making it impossible to discern any detail on the headlight. The cropped images also do not provide a clear view of the headlight to assess for cracks.","none","true","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","false","Image 1 is too blurry to assess any damage. Image 2 clearly shows a dent on the door panel, but image 1 does not provide sufficient context to confirm it's the same vehicle or the claimed side.","blurry_image;wrong_angle","dent","door","not_enough_information","The customer claims a dent on the door panel. Image 1 is too blurry to identify any damage or even the specific car. Image 2 clearly shows a dent on a car's door panel, which aligns with the claim. However, due to the blurriness of img_1, it's not possible to confirm if both images are of the same vehicle or if img_2 represents the 'side' of the car as described in the context of img_1. Therefore, there is not enough information to fully support the claim across both images.","none","true","medium"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","false","The images do not clearly show the hood of the car where the scratch is claimed. The car is severely damaged in the front, making it difficult to assess a scratch on the hood.","damage_not_visible;user_history_risk;wrong_angle","unknown","hood","not_enough_information","The customer claims a 'scratch across the top panel' (hood). However, the provided image (img_1) shows a severely damaged front of a car, with the hood open and significant structural damage. It is impossible to discern any scratch on the hood due to the overall damage and the angle of the photo.","none","true","unknown"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The image clearly shows the claimed object (laptop) and the claimed part (screen) with visible damage.","none","glass_shatter","screen","supported","The image 'img_1' clearly shows a laptop with a severely shattered screen, consistent with the customer's claim of a cracked display glass after the laptop fell.","img_1","true","high"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","Image img_1 clearly shows the claimed hinge damage.","none","broken_part","hinge","supported","Image img_1 clearly shows the laptop hinge area is broken and detached from the screen bezel, which supports the claim that the hinge area has broken and the screen wobbles. Image img_2 provides a wider view of the laptop.","img_1","true","high"
